array_length,n_threads,insertion_sort_threshold,elapsed_time
10,1,10,0.000860
100,1,0,0.001451
100,1,100,0.001112
1000,1,0,0.001413
1000,1,1000,0.001365
10000,1,0,0.002759
10000,1,10000,0.048159
10,1,0,0.000881
10,1,10,0.000782
100,1,0,0.000982
100,1,100,0.000886
1000,1,0,0.000991
1000,1,1000,0.001354
10000,1,0,0.002767
10000,1,10000,0.046103
10,1,0,0.000841
10,1,10,0.000954
100,1,0,0.000842
100,1,100,0.000898
1000,1,0,0.001103
1000,1,1000,0.001291
10000,1,0,0.003113
10000,1,10000,0.049355
10,1,0,0.000784
10,1,10,0.001033
100,1,0,0.000918
100,1,100,0.000894
1000,1,0,0.001114
1000,1,1000,0.001323
10000,1,0,0.002835
10000,1,10000,0.047347
10,1,0,0.000791
10,1,10,0.000834
100,1,0,0.000880
100,1,100,0.001020
1000,1,0,0.001108
1000,1,1000,0.001354
10000,1,0,0.002928
10000,1,10000,0.047492
10,1,0,0.000890
10,1,10,0.000856
100,1,0,0.000824
100,1,100,0.000899
1000,1,0,0.001122
1000,1,1000,0.001333
10000,1,0,0.002788
10000,1,10000,0.046283
10,1,0,0.000891
10,1,10,0.000914
100,1,0,0.000897
100,1,100,0.000903
1000,1,0,0.000991
1000,1,1000,0.001371
10000,1,0,0.002941
10000,1,10000,0.047469
10,1,0,0.000867
10,1,10,0.000931
100,1,0,0.000833
100,1,100,0.000826
1000,1,0,0.001017
1000,1,1000,0.001292
10000,1,0,0.002761
10000,1,10000,0.047314
10,1,0,0.000769
10,1,10,0.000817
100,1,0,0.000916
100,1,100,0.000877
1000,1,0,0.001120
1000,1,1000,0.001237
10000,1,0,0.002857
10000,1,10000,0.061513
10,1,0,0.000859
10,1,10,0.000804
100,1,0,0.000880
100,1,100,0.000856
1000,1,0,0.001172
1000,1,1000,0.001660
10000,1,0,0.003166
10000,1,10000,0.051578
10,1,0,0.001190
10,1,10,0.000853
100,1,0,0.001102
100,1,100,0.001035
1000,1,0,0.001311
1000,1,1000,0.001607
10000,1,0,0.002987
10000,1,10000,0.050183
10,1,0,0.000868
10,1,10,0.000858
100,1,0,0.000886
100,1,100,0.001032
1000,1,0,0.001170
1000,1,1000,0.001305
10000,1,0,0.003212
10000,1,10000,0.050189
10,1,0,0.000887
10,1,10,0.000879
100,1,0,0.000862
100,1,100,0.000826
1000,1,0,0.001075
1000,1,1000,0.001263
10000,1,0,0.002923
10000,1,10000,0.049207
10,1,0,0.000873
10,1,10,0.000857
100,1,0,0.000875
100,1,100,0.000883
1000,1,0,0.001107
1000,1,1000,0.001517
10000,1,0,0.003034
10000,1,10000,0.049711
10,1,0,0.000764
10,1,10,0.000837
100,1,0,0.000777
100,1,100,0.000818
1000,1,0,0.001043
1000,1,1000,0.001315
10000,1,0,0.002746
10000,1,10000,0.048337
10,1,0,0.000936
10,1,10,0.000790
100,1,0,0.000929
100,1,100,0.001049
1000,1,0,0.001289
1000,1,1000,0.001705
10000,1,0,0.002954
10000,1,10000,0.048373
10,1,0,0.000851
10,1,10,0.000860
100,1,0,0.000830
100,1,100,0.000850
1000,1,0,0.001091
1000,1,1000,0.001396
10000,1,0,0.003371
10000,1,10000,0.051499
10,1,0,0.000816
10,1,10,0.000788
100,1,0,0.000841
100,1,100,0.000898
1000,1,0,0.001110
1000,1,1000,0.001336
10000,1,0,0.002792
10000,1,10000,0.046822
10,1,0,0.000810
10,1,10,0.000906
100,1,0,0.000876
100,1,100,0.000862
1000,1,0,0.001084
1000,1,1000,0.001441
10000,1,0,0.002723
10000,1,10000,0.046221
10,1,0,0.000939
10,1,10,0.000836
100,1,0,0.000800
100,1,100,0.000828
1000,1,0,0.000998
1000,1,1000,0.001405
10000,1,0,0.002791
10000,1,10000,0.046816
10,1,0,0.000859
10,1,10,0.000888
100,1,0,0.000899
100,1,100,0.000903
1000,1,0,0.001084
1000,1,1000,0.001372
10000,1,0,0.002838
10000,1,10000,0.046940
10,1,0,0.000873
10,1,10,0.000968
100,1,0,0.000971
100,1,100,0.000975
1000,1,0,0.001151
1000,1,1000,0.001325
10000,1,0,0.002829
10000,1,10000,0.047081
10,1,0,0.000784
10,1,10,0.001007
100,1,0,0.000918
100,1,100,0.000854
1000,1,0,0.000959
1000,1,1000,0.001488
10000,1,0,0.002930
10000,1,10000,0.050011
10,1,0,0.000813
10,1,10,0.000841
100,1,0,0.000906
100,1,100,0.000842
1000,1,0,0.001033
1000,1,1000,0.001432
10000,1,0,0.002944
10000,1,10000,0.050363
10,1,0,0.000843
10,1,10,0.000888
100,1,0,0.000879
100,1,100,0.000830
1000,1,0,0.001040
1000,1,1000,0.001459
10000,1,0,0.003009
10000,1,10000,0.051219
10,1,0,0.000861
10,1,10,0.000945
100,1,0,0.000883
100,1,100,0.000892
1000,1,0,0.001082
1000,1,1000,0.001396
10000,1,0,0.003305
10000,1,10000,0.049691
10,1,0,0.000968
10,1,10,0.000808
100,1,0,0.000895
100,1,100,0.000867
1000,1,0,0.001043
1000,1,1000,0.001365
10000,1,0,0.002864
10000,1,10000,0.050488
10,1,0,0.000844
10,1,10,0.000813
100,1,0,0.000827
100,1,100,0.000855
1000,1,0,0.001110
1000,1,1000,0.001306
10000,1,0,0.003097
10000,1,10000,0.049450
10,1,0,0.000861
10,1,10,0.000976
100,1,0,0.000910
100,1,100,0.000993
1000,1,0,0.001099
1000,1,1000,0.003212
10000,1,0,0.003384
10000,1,10000,0.060344
10,1,0,0.002413
10,1,10,0.001322
100,1,0,0.001671
100,1,100,0.001188
1000,1,0,0.001002
1000,1,1000,0.001411
10000,1,0,0.003446
10000,1,10000,0.052118
10,1,0,0.000800
10,1,10,0.000947
100,1,0,0.000919
100,1,100,0.000918
1000,1,0,0.001081
1000,1,1000,0.001411
10000,1,0,0.002948
10000,1,10000,0.053825
10,1,0,0.000785
10,1,10,0.000790
100,1,0,0.000792
100,1,100,0.000839
1000,1,0,0.001048
1000,1,1000,0.001401
10000,1,0,0.002910
10000,1,10000,0.049890
10,1,0,0.000902
10,1,10,0.000921
100,1,0,0.000980
100,1,100,0.000953
1000,1,0,0.001150
1000,1,1000,0.001548
10000,1,0,0.002935
10000,1,10000,0.049314
10,1,0,0.000896
10,1,10,0.000803
100,1,0,0.001661
100,1,100,0.000952
1000,1,0,0.001122
1000,1,1000,0.001362
10000,1,0,0.002849
10000,1,10000,0.053016
10,1,0,0.000915
10,1,10,0.000924
100,1,0,0.000926
100,1,100,0.000917
1000,1,0,0.001153
1000,1,1000,0.001396
10000,1,0,0.002886
10000,1,10000,0.049123
10,1,0,0.000841
10,1,10,0.000838
100,1,0,0.000882
100,1,100,0.001078
1000,1,0,0.001101
1000,1,1000,0.001371
10000,1,0,0.003228
10000,1,10000,0.049064
10,1,0,0.000878
10,1,10,0.000829
100,1,0,0.000846
100,1,100,0.000850
1000,1,0,0.000992
1000,1,1000,0.001346
10000,1,0,0.002941
10000,1,10000,0.048092
10,1,0,0.000806
10,1,10,0.000802
100,1,0,0.000959
100,1,100,0.000914
1000,1,0,0.001028
1000,1,1000,0.001467
10000,1,0,0.002780
10000,1,10000,0.046328
10,1,0,0.000783
10,1,10,0.000875
100,1,0,0.000871
100,1,100,0.000934
1000,1,0,0.001080
1000,1,1000,0.001433
10000,1,0,0.002793
10000,1,10000,0.047514
10,1,0,0.000831
10,1,10,0.000846
100,1,0,0.000835
100,1,100,0.000846
1000,1,0,0.000980
1000,1,1000,0.001282
10000,1,0,0.002945
10000,1,10000,0.046249
10,1,0,0.000863
10,1,10,0.000895
100,1,0,0.000886
100,1,100,0.000882
1000,1,0,0.001021
1000,1,1000,0.001333
10000,1,0,0.002786
10000,1,10000,0.046273
10,1,0,0.000883
10,1,10,0.000855
100,1,0,0.000883
100,1,100,0.000855
1000,1,0,0.001093
1000,1,1000,0.001418
10000,1,0,0.002791
10000,1,10000,0.049409
10,1,0,0.000911
10,1,10,0.000796
100,1,0,0.001022
100,1,100,0.000898
1000,1,0,0.001150
1000,1,1000,0.001412
10000,1,0,0.002781
10000,1,10000,0.046198
10,1,0,0.000841
10,1,10,0.000884
100,1,0,0.000994
100,1,100,0.001096
1000,1,0,0.001071
1000,1,1000,0.001304
10000,1,0,0.002792
10000,1,10000,0.046846
10,1,0,0.000944
10,1,10,0.000907
100,1,0,0.000847
100,1,100,0.000949
1000,1,0,0.001089
1000,1,1000,0.001386
10000,1,0,0.003207
10000,1,10000,0.046373
10,1,0,0.000861
10,1,10,0.000858
100,1,0,0.000852
100,1,100,0.000829
1000,1,0,0.000964
1000,1,1000,0.001288
10000,1,0,0.002809
10000,1,10000,0.046276
10,1,0,0.000933
10,1,10,0.000789
100,1,0,0.000932
100,1,100,0.000753
1000,1,0,0.001011
1000,1,1000,0.001285
10000,1,0,0.002770
10000,1,10000,0.046280
10,1,0,0.000844
10,1,10,0.000823
100,1,0,0.000976
100,1,100,0.000871
1000,1,0,0.001139
1000,1,1000,0.001326
10000,1,0,0.002752
10000,1,10000,0.046966
10,1,0,0.000936
10,1,10,0.000845
100,1,0,0.000838
100,1,100,0.000830
1000,1,0,0.001052
1000,1,1000,0.001286
10000,1,0,0.003096
10000,1,10000,0.047879
10,1,0,0.000949
10,1,10,0.000916
100,1,0,0.000883
100,1,100,0.000855
1000,1,0,0.001035
1000,1,1000,0.001364
10000,1,0,0.002991
10000,1,10000,0.047298
10,1,0,0.000791
10,1,10,0.000839
100,1,0,0.000857
100,1,100,0.001008
1000,1,0,0.001105
1000,1,1000,0.001470
10000,1,0,0.003177
10000,1,10000,0.047612
10,1,0,0.000847
10,1,10,0.000832
100,1,0,0.000901
100,1,100,0.000797
1000,1,0,0.000992
1000,1,1000,0.001255
10000,1,0,0.002744
10000,1,10000,0.046407
10,1,0,0.000822
10,1,10,0.000842
100,1,0,0.000941
100,1,100,0.000940
1000,1,0,0.001015
1000,1,1000,0.001325
10000,1,0,0.002801
10000,1,10000,0.046595
10,1,0,0.000911
10,1,10,0.000877
100,1,0,0.000853
100,1,100,0.000886
1000,1,0,0.001056
1000,1,1000,0.001402
10000,1,0,0.002761
10000,1,10000,0.046443
10,1,0,0.000926
10,1,10,0.000797
100,1,0,0.000927
100,1,100,0.000951
1000,1,0,0.001089
1000,1,1000,0.001284
10000,1,0,0.003046
10000,1,10000,0.046968
10,1,0,0.000877
10,1,10,0.000822
100,1,0,0.000894
100,1,100,0.001008
1000,1,0,0.000993
1000,1,1000,0.001440
10000,1,0,0.002744
10000,1,10000,0.047123
10,1,0,0.000826
10,1,10,0.001075
100,1,0,0.000863
100,1,100,0.000959
1000,1,0,0.001053
1000,1,1000,0.001331
10000,1,0,0.002739
10000,1,10000,0.046337
10,1,0,0.000874
10,1,10,0.000770
100,1,0,0.000933
100,1,100,0.000880
1000,1,0,0.001129
1000,1,1000,0.001353
10000,1,0,0.002741
10000,1,10000,0.046526
10,1,0,0.000816
10,1,10,0.000914
100,1,0,0.000981
100,1,100,0.000933
1000,1,0,0.001100
1000,1,1000,0.001456
10000,1,0,0.002860
10000,1,10000,0.046347
10,1,0,0.000791
10,1,10,0.000864
100,1,0,0.000942
100,1,100,0.000803
1000,1,0,0.000976
1000,1,1000,0.001373
10000,1,0,0.002729
10000,1,10000,0.046348
10,1,0,0.000789
10,1,10,0.000783
100,1,0,0.000903
100,1,100,0.000871
1000,1,0,0.001005
1000,1,1000,0.001298
10000,1,0,0.002886
10000,1,10000,0.045959
10,1,0,0.000908
10,1,10,0.000880
100,1,0,0.000894
100,1,100,0.000940
1000,1,0,0.001088
1000,1,1000,0.001374
10000,1,0,0.002816
10000,1,10000,0.047064
10,1,0,0.000787
10,1,10,0.000888
100,1,0,0.000920
100,1,100,0.000849
1000,1,0,0.001083
1000,1,1000,0.001339
10000,1,0,0.002861
10000,1,10000,0.046239
10,1,0,0.000826
10,1,10,0.000792
100,1,0,0.000912
100,1,100,0.000926
1000,1,0,0.001025
1000,1,1000,0.001375
10000,1,0,0.002803
10000,1,10000,0.046423
10,1,0,0.000892
10,1,10,0.000839
100,1,0,0.000854
100,1,100,0.000828
1000,1,0,0.001113
1000,1,1000,0.001354
10000,1,0,0.003205
10000,1,10000,0.047284
10,1,0,0.000962
10,1,10,0.000913
100,1,0,0.000816
100,1,100,0.000764
1000,1,0,0.001016
1000,1,1000,0.001332
10000,1,0,0.002774
10000,1,10000,0.046285
10,1,0,0.000908
10,1,10,0.001068
100,1,0,0.000882
